4;r8028563;Навасёлкаўскі сельскі Савет;
4;r8028562;Астроміцкі сельскі Савет;
4;r8028561;Павіццеўскі сельскі Савет;
4;r8028560;Тэвельскі сельскі Савет;
4;r8028559;Хідрынскі сельскі Савет;
3;r71124;Лунінецкі раён;
4;r6722245;Лунінец;
4;r8087851;Багданаўскі сельскі Савет;
4;r8087850;Бастынскі сельскі Савет;
4;r8087849;Вулькаўскі сельскі Савет;
4;r8087848;Гарадоцкі сельскі Савет;
4;r8087847;Дварэцкі сельскі Савет;
4;r8087846;Дзятлавіцкі сельскі Савет;
4;r8087845;Лахвенскі сельскі Савет;
4;r8087844;Лунінскі сельскі Савет;
4;r8087843;Рыдзігераўскі сельскі Савет;
4;r8087842;Сінкевіцкі сельскі Савет;
4;r8087841;Чучавіцкі сельскі Савет;
3;r71117;Ляхавіцкі раён;
4;r6722260;Ляхавічы;
4;r8096138;Ганчароўскі сельскі Савет;
4;r8096137;Жарабковіцкі сельскі Савет;
4;r8096136;Конькаўскі сельскі Савет;
4;r8096135;Крывошынскі сельскі Савет;
4;r8096134;Начаўскі сельскі Савет;
4;r8096133;Навасёлкаўскі сельскі Савет;
4;r8096132;Альхоўскі сельскі Савет;
4;r8096131;Востраўскі сельскі Савет;
3;r71100;Маларыцкі раён;
4;r6722277;Маларыта;
4;r8028577;Велікарыцкі сельскі Савет;
4;r8028576;Гвозніцкі сельскі Савет;
4;r8028575;Лукаўскі сельскі Савет;
4;r8028574;Макранскі сельскі Савет;
4;r8028573;Олтушскі сельскі Савет;
4;r8028572;Арэхаўскі сельскі Савет;
4;r8028571;Хаціслаўскі сельскі Савет;
4;r8028570;Чарнянскі сельскі Савет;
3;r71119;Пінскі раён;
4;r8028548;Бярозавіцкі сельскі Савет;
4;r8028547;Бабрыкоўскі сельскі Савет;
4;r8028546;Барычавіцкі сельскі Савет;
4;r8028545;Валішчанскі сельскі Савет;
4;r8028544;Гарадзішчанскі сельскі Савет;
4;r8028543;Дубайскі сельскі Савет;
4;r8028542;Загародскі сельскі Савет;
4;r8028541;Калавуравіцкі сельскі Савет;
4;r8028540;Ласіцкі сельскі Савет;
4;r8028539;Лагішынскі сельскі Савет;
4;r8028538;Лапацінскі сельскі Савет;
4;r8028537;Лышчанскі сельскі Савет;
4;r8028536;Мерчыцкі сельскі Савет;
4;r8028535;Малоткавіцкі сельскі Савет;
4;r8028534;Навадворскі сельскі Савет;
4;r8028533;Аснежыцкі сельскі Савет;
4;r8028532;Ахоўскі сельскі Савет;
4;r8028531;Парахонскі сельскі Савет;
4;r8028530;Пінкавіцкі сельскі Савет;
4;r8028529;Плешчыцкі сельскі Савет;
4;r8028528;Парэцкі сельскі Савет;
4;r8028527;Сошненскі сельскі Савет;
4;r8028526;Ставоцкі сельскі Савет;
4;r8028525;Хойнаўскі сельскі Савет;
3;r71094;Пружанскі раён;
4;r6722278;Пружаны;
4;r8025736;Велікасельскі сельскі Савет;
4;r8025735;Зеляневіцкі сельскі Савет;
4;r8025734;Лінаўскі сельскі Савет;
4;r8025733;Мокраўскі сельскі Савет;
4;r8025732;Навазасімавіцкі сельскі Савет;
4;r8025731;Пружанскі сельскі Савет;
4;r8025725;Ружанскі сельскі Савет;
4;r8025730;Сухопальскі сельскі Савет;
4;r8025729;Хараўскі сельскі Савет;
4;r8025728;Шаняўскі сельскі Савет;
4;r8025726;Шарашэўскі сельскі Савет;
4;r8025727;Шчарчоўскі сельскі Савет;
3;r71125;Столінскі раён;
4;r6722280;Столін;
4;r6722286;Давыд-Гарадок;
4;r8028523;Белавушскі сельскі Савет;
4;r8028522;Беражноўскі сельскі Савет;
4;r8028521;Велікамалешаўскі сельскі Савет;
4;r8028520;Веляміцкі сельскі Савет;
4;r8028519;Відзіборскі сельскі Савет;
4;r8028518;Глінкаўскі сельскі Савет;
4;r8028517;Гараднянскі сельскі Савет;
4;r8028516;Лядзецкі сельскі Савет;
4;r8028515;Манькавіцкі сельскі Савет;
4;r8028514;Альшанскі сельскі Савет;
4;r8028513;Плотніцкі сельскі Савет;
4;r8028512;Радчыцкі сельскі Савет;
4;r8028511;Рамельскі сельскі Савет;
4;r8028510;Рэчыцкі сельскі Савет;
4;r8028509;Рубельскі сельскі Савет;
4;r8028508;Рухчанскі сельскі Савет;
4;r8028507;Стружскі сельскі Савет;
4;r8028506;Фядорскі сельскі Савет;
4;r8028505;Харомскі сельскі Савет;
2;r59506;Віцебская вобласць;не замкнуты
3;r6825777;Віцебск;
3;r59504;Віцебскі раён;
4;r7924025;Бабініцкі сельскі Савет;
4;r7924024;Варонаўскі сельскі Савет;
4;r7924023;Вымнянскі сельскі Савет;
4;r7924022;Задуброўскі сельскі Савет;
4;r7924020;Заронаўскі сельскі Савет;
4;r7924021;Запольскі сельскі Савет;
4;r7924019;Курынскі сельскі Савет;
4;r7924018;Лятчанскі сельскі Савет;
4;r7924017;Мазалаўскі сельскі Савет;
4;r7924016;Ноўкінскі сельскі Савет;
4;r7924015;Акцябрскі сельскі Савет;
4;r7924014;Суражскі сельскі Савет;
4;r7924013;Тулаўскі сельскі Савет;
4;r7924012;Шапечынскі сельскі Савет;
4;r7938161;Янавіцкі сельскі Савет;
3;r70668;Бешанковіцкі раён;
4;r6722290;Бешанковічы;
4;r7973414;Бешанковіцкі сельскі Савет;
4;r7973417;Бачэйкаўскі сельскі Савет;
4;r7973415;Верхнякрывінскі сельскі Савет;
4;r7973416;Вярхоўскі сельскі Савет;
4;r7973413;Астровенскі сельскі Савет;
4;r7973412;Соржыцкі сельскі Савет;
4;r7973411;Ульскі сельскі Савет;
3;r70691;Браслаўскі раён;
4;r1180581;Браслаў;
4;r7976857;Ахрэмавецкі сельскі Савет;
4;r7976858;Відзаўскі сельскі Савет;
4;r7977021;Далёкаўскі сельскі Савет;
4;r7976856;Друеўскі сельскі Савет;
4;r7976855;Мяжанскі сельскі Савет;
4;r7976854;Опсаўскі сельскі Савет;
4;r7976853;Плюскі сельскі Савет;
4;r7976852;Слабодкаўскі сельскі Савет;
4;r7976851;Цяцеркаўскі сельскі Савет;
3;r70684;Верхнядзвінскі раён;
4;r1180580;Верхнядзвінск;
4;r8075960;Бялькоўшчынскі сельскі Савет;
4;r8075959;Бігосаўскі сельскі Савет;
4;r8075958;Боркавіцкі сельскі Савет;
4;r8075957;Валынецкі сельскі Савет;
4;r8075956;Дзёрнавіцкі сельскі Савет;
4;r8075955;Каханавіцкі сельскі Савет;
4;r8075954;Асвейскі сельскі Савет;
4;r8075953;Сарʼянскі сельскі Савет;
4;r8075952;Шайтараўскі сельскі Савет;
3;r70703;Глыбоцкі раён;
4;r1176300;Глыбокае;
4;r7980383;Галубіцкі сельскі Савет;
4;r7980384;Залескі сельскі Савет;
4;r7980385;Зябкаўскі сельскі Савет;
4;r7980386;Карабоўскі сельскі Савет;
4;r7980389;Ломашаўскі сельскі Савет;
4;r7980390;Абрубскі сельскі Савет;
4;r7980391;Азярэцкі сельскі Савет;
4;r7980392;Пліскі сельскі Савет;
4;r7980393;Падсвільскі сельскі Савет;
4;r7980394;Празароцкі сельскі Савет;
4;r7980395;Псуеўскі сельскі Савет;
4;r7980396;Удзелаўскі сельскі Савет;
4;r7980397;Узрэцкі сельскі Савет;
3;r70676;Гарадоцкі раён;
4;r1173272;Гарадок;
4;r8018222;Бычыхінскі сельскі Савет;
4;r8018223;Вайханскі сельскі Савет;
4;r8018224;Віраўлянскі сельскі Савет;
4;r8018225;Даўгапольскі сельскі Савет;
4;r8018226;Езярышчанскі сельскі Савет;
4;r8018227;Мяжанскі сельскі Савет;
4;r8018228;Пальмінскі сельскі Савет;
4;r8018229;Першамайскі сельскі Савет;
4;r8018231;Стадолішчанскі сельскі Савет;
3;r70716;Докшыцкі раён;
4;r6722293;Докшыцы;
4;r8016714;Бягомльскі сельскі Савет;
4;r8016711;Бярэзінскі сельскі Савет;
4;r8016715;Бярозкаўскі сельскі Савет;
4;r8016721;Валкалацкі сельскі Савет;
4;r8016713;Докшыцкі сельскі Савет;
4;r8016716;Крыпульскі сельскі Савет;
4;r8016718;Крулеўшчынскі сельскі Савет;
4;r8016717;Парафʼянаўскі сельскі Савет;
4;r8016719;Порплішчанскі сельскі Савет;
4;r8016720;Сітцаўскі сельскі Савет;
