route;r8945940;bus;Аўтобус №1 - ДС Вяснянка - Вакзал;Автобус №1 - ДС Веснянка - Вокзал;непатрэбны 'description'|у 'name:be' неправільны злучок " -"|у 'name:ru' неправільны злучок " -"|маршрут: не знойдзены 'from'|маршрут: не знойдзены 'to'|назва 'name:be' майстар-маршруту не "Прыгарадны аўтобус №1"|назва 'name:ru' майстар-маршруту не "Aвтобус №1"
route;r8945939;bus;Аўтобус №1 - Вакзал - ДС Вяснянка;Автобус №1 - Вокзал - ДС Веснянка;непатрэбны 'description'|у 'name:be' неправільны злучок " -"|у 'name:ru' неправільны злучок " -"|маршрут: не знойдзены 'from'|маршрут: не знойдзены 'to'|назва 'name:be' майстар-маршруту не "Прыгарадны аўтобус №1"|назва 'name:ru' майстар-маршруту не "Aвтобус №1"

master;r75835;bus;Аўтобус №2с;Автобус №2с;
route;r8954495;bus;Аўтобус №2с - ДС Лошыца - ст.м. Трактарны завод;Автобус №2с - ДС Лошица - ст.м. Тракторный завод;у 'name:be' неправільны злучок " -"|у 'name:be' спецыяльныя знакі "."|у 'name:be' недапушчальны скарот "ст."|у 'name:ru' неправільны злучок " -"|у 'name:ru' спецыяльныя знакі "."|у 'name:ru' недапушчальны скарот "ст."|маршрут: не знойдзены 'from'|маршрут: не знойдзены 'to'|назва 'name:be' майстар-маршруту не "Прыгарадны аўтобус №2с"|назва 'name:ru' майстар-маршруту не "Aвтобус №2с"
route;r8954494;bus;Аўтобус №2с - ст.м. Трактарны завод - ДС Лошыца;Автобус №2с - ст.м. Тракторный завод - ДС Лошица;у 'name:be' неправільны злучок " -"|у 'name:be' спецыяльныя знакі "."|у 'name:be' недапушчальны скарот "ст."|у 'name:ru' неправільны злучок " -"|у 'name:ru' спецыяльныя знакі "."|у 'name:ru' недапушчальны скарот "ст."|маршрут: не знойдзены 'from'|маршрут: не знойдзены 'to'|назва 'name:be' майстар-маршруту не "Прыгарадны аўтобус №2с"|назва 'name:ru' майстар-маршруту не "Aвтобус №2с"

master;r75849;bus;Аўтобус №3с;Автобус №3с;
route;r8954733;bus;Аўтобус №3с - ДС Чыжоўка - Вакзал;Автобус №3с - ДС Чижовка - Вокзал;у 'name:be' неправільны злучок " -"|у 'name:ru' неправільны злучок " -"|прыпынкі ідуць не паслядоўна|прыпынак "Віктара Турава": не знойдзены 'bus'|маршрут: не знойдзены 'from'|маршрут: не знойдзены 'to'|назва 'name:be' майстар-маршруту не "Прыгарадны аўтобус №3с"|назва 'name:ru' майстар-маршруту не "Aвтобус №3с"
route;r8954732;bus;Аўтобус №3с - Вакзал - ДС Чыжоўка;Автобус №3с - Вокзал - ДС Чижовка;у 'name:be' неправільны злучок " -"|у 'name:ru' неправільны злучок " -"|прыпынкі ідуць не паслядоўна|не супадае колькасць: 13 прыпынкаў і 14 платформаў|маршрут: не знойдзены 'from'|маршрут: не знойдзены 'to'|назва 'name:be' майстар-маршруту не "Прыгарадны аўтобус №3с"|назва 'name:ru' майстар-маршруту не "Aвтобус №3с"

master;r75867;bus;Аўтобус №4;Автобус №4;
route;r8954900;bus;Аўтобус №4 - ДС Дружная - чыгуначная ст. Мінск-Паўднёвы;Автобус №4 - ДС Дружная - Ж/д ст. Минск-Южный;у 'name:be' неправільны злучок " -"|у 'name:be' спецыяльныя знакі "."|у 'name:be' недапушчальны скарот "ст."|у 'name:ru' неправільны злучок " -"|у 'name:ru' спецыяльныя знакі "."|у 'name:ru' недапушчальны скарот "Ж/д"|relation змяшчае недапушчальную role: 'node'=""|relation змяшчае недапушчальную role: 'node'=""|relation змяшчае недапушчальную role: 'node'=""|relation змяшчае недапушчальную role: 'node'=""|way змяшчае недапушчальны 'name'|маршрут: не знойдзены 'from'|маршрут: не знойдзены 'to'|role маршруту не 'way'|role маршруту не 'way'|role маршруту не 'way'|role маршруту не 'way'|назва 'name:be' майстар-маршруту не "Прыгарадны аўтобус №4"|назва 'name:ru' майстар-маршруту не "Aвтобус №4"
route;r8954899;bus;Аўтобус №4 - чыгуначная ст. Мінск-Паўднёвы - ДС Дружная;Автобус №4 - Ж/д ст. Минск-Южный - ДС Дружная;у 'name:be' неправільны злучок " -"|у 'name:be' спецыяльныя знакі "."|у 'name:be' недапушчальны скарот "ст."|у 'name:ru' неправільны злучок " -"|у 'name:ru' спецыяльныя знакі "."|у 'name:ru' недапушчальны скарот "Ж/д"|way змяшчае недапушчальны 'name'|не супадае колькасць: 11 прыпынкаў і 10 платформаў|маршрут: не знойдзены 'from'|маршрут: не знойдзены 'to'|назва 'name:be' майстар-маршруту не "Прыгарадны аўтобус №4"|назва 'name:ru' майстар-маршруту не "Aвтобус №4"

master;r75872;trolleybus;Тралейбус №60 - ДС Ангарская-4 - ст.м. Магілёўская;Троллейбус №60 - ДС Ангарская-4 - ст.м. Могилевская;
route;r9345757;trolleybus;Тралейбус №60 - ДС Ангарская-4 - ст.м. Магілёўская;Троллейбус №60 - ДС Ангарская-4 - ст.м. Могилевская;у 'name:be' неправільны злучок " -"|у 'name:be' спецыяльныя знакі "."|у 'name:be' недапушчальны скарот "ст."|у 'name:ru' неправільны злучок " -"|у 'name:ru' спецыяльныя знакі "."|у 'name:ru' недапушчальны скарот "ст."|назва 'name:be' майстар-маршруту не "Тралейбус №60"|назва 'name:ru' майстар-маршруту не "Тролейбус №60"
route;r9345756;trolleybus;Тралейбус №60 - ст.м. Магілёўская - ДС Ангарская-4;Троллейбус №60 - ст.м. Могилевская - ДС Ангарская-4;у 'name:be' неправільны злучок " -"|у 'name:be' спецыяльныя знакі "."|у 'name:be' недапушчальны скарот "ст."|у 'name:ru' неправільны злучок " -"|у 'name:ru' спецыяльныя знакі "."|у 'name:ru' недапушчальны скарот "ст."|назва 'name:be' майстар-маршруту не "Тралейбус №60"|назва 'name:ru' майстар-маршруту не "Тролейбус №60"

master;r75902;bus;Аўтобус №9;Автобус №9;
route;r9336071;bus;Аўтобус №9 - Серабранка-9 - Завод ЖБВ;Автобус №9 - Серебрянка-9 - Завод ЖБИ;у 'name:be' неправільны злучок " -"|у 'name:ru' неправільны злучок " -"|не супадае колькасць: 29 прыпынкаў і 30 платформаў|маршрут: не знойдзены 'from'|маршрут: не знойдзены 'to'|назва 'name:be' майстар-маршруту не "Прыгарадны аўтобус №9"|назва 'name:ru' майстар-маршруту не "Aвтобус №9"
route;r9336070;bus;Аўтобус №9 - Завод ЖБВ - Серабранка-9;Автобус №9 - Завод ЖБИ - Серебрянка-9;у 'name:be' неправільны злучок " -"|у 'name:ru' неправільны злучок " -"|маршрут: не знойдзены 'from'|маршрут: не знойдзены 'to'|назва 'name:be' майстар-маршруту не "Прыгарадны аўтобус №9"|назва 'name:ru' майстар-маршруту не "Aвтобус №9"

master;r75903;bus;Аўтобус №9д;Автобус №9д;
route;r9336100;bus;Аўтобус №9д - ДС Шабаны - Серабранка-9;Автобус №9д - ДС Шабаны - Серебрянка-9;у 'name:be' неправільны злучок " -"|у 'name:ru' неправільны злучок " -"|не супадае колькасць: 21 прыпынкаў і 22 платформаў|маршрут: не знойдзены 'from'|маршрут: не знойдзены 'to'|назва 'name:be' майстар-маршруту не "Прыгарадны аўтобус №9д"|назва 'name:ru' майстар-маршруту не "Aвтобус №9д"
route;r9336099;bus;Аўтобус №9д - Серабранка-9 - ДС Шабаны;Автобус №9д - Серебрянка-9 - ДС Шабаны;у 'name:be' неправільны злучок " -"|у 'name:ru' неправільны злучок " -"|не супадае колькасць: 19 прыпынкаў і 20 платформаў|маршрут: не знойдзены 'from'|маршрут: не знойдзены 'to'|назва 'name:be' майстар-маршруту не "Прыгарадны аўтобус №9д"|назва 'name:ru' майстар-маршруту не "Aвтобус №9д"

master;r75919;tram;Трамвай №6: Д/С Зялёны Луг - Д/С Серабранка;Трамвай №6: Д/С Зелёный Луг - Д/С Серебрянка;
